software,cert,resp,subtype,type,id,version1,version2,publisher1,publisher2,url,article,article_set,mention_status
SPSS Statistics,0.9,#annotator20,used,software,ba84c84697-software-1,23,NA,IBM,NA,NA,ba84c84697,PMC,sw-ver-pub
Photoshop,1.0,#annotator12,used,software,b74d247782-software-5,CS4 or CS5,NA,Adobe,NA,NA,b74d247782,PMC,sw-ver-pub
SYBYL,0.8,#annotator2,used,software,dae3fcfebd-software-11,7.3,NA,Tripos Inc,NA,NA,dae3fcfebd,PMC,sw-ver-pub
Ingenuity Pathways Knowledge Base,0.8,#annotator4,used,software,e043051487-software-0,8.8,NA,Ingenuity Systems,NA,NA,e043051487,PMC,sw-ver-pub
SPSS,NA,#curator,NA,software,afef58501d-software-0,20.0,NA,IBM Corp,NA,NA,afef58501d,PMC,sw-ver-pub
CLC main workbench,0.8,#annotator5,used,software,d825927b9e-software-10,5,NA,CLC bio,NA,NA,d825927b9e,PMC,sw-ver-pub
Roman,1.0,#annotator2,used,software,eb11145f58-software-1,1.70,NA,Robert Jones and Agnes Hunt Orthopaedic Hospital,NA,http://www.cookedbits.co.uk/roma n/,eb11145f58,PMC,all
SPSS,1.0,#annotator4,used,software,d73f8932e2-software-1,16.0,NA,SPSS,NA,NA,d73f8932e2,PMC,sw-ver-pub
SPSS,0.9,#annotator20,used,software,bef334d918-software-0,13.0,NA,SPSS Inc,NA,NA,bef334d918,PMC,sw-ver-pub
Stata,1.0,#curator,used,software,dc3de87261-software-5,12,NA,Stata Corporation,NA,NA,dc3de87261,PMC,sw-ver-pub
SPSS Statistics,NA,#curator,NA,software,fa3ec517f0-software-0,20.0,NA,IBM Co,NA,NA,fa3ec517f0,PMC,sw-ver-pub
MedCalc,1.0,#annotator3,used,software,e35f406354-software-3,12.4.0,NA,MedCalc Software,NA,NA,e35f406354,PMC,sw-ver-pub
SPSS,1.0,#annotator9,used,software,a20aadca05-software-0,11.0,NA,SPSS Inc,NA,NA,a20aadca05,PMC,sw-ver-pub
linux,NA,#curator,NA,software,a5e91fca27-software-7,10.1,NA,SuSE,NA,NA,a5e91fca27,PMC,sw-ver-pub
GraphPad Prism,NA,#curator,NA,software,d55cfe3dc9-software-0,5,NA,"Graphpad Software, Inc",NA,NA,d55cfe3dc9,PMC,sw-ver-pub
SPSS,1.0,#annotator4,used,software,f1bd2108dc-software-0,19.0,NA,SPSS Inc,NA,NA,f1bd2108dc,PMC,sw-ver-pub
SPSS,1.0,#annotator7,used,software,ad475cb6c0-software-1,20,NA,IBM,NA,NA,ad475cb6c0,PMC,sw-ver-pub
AxioVision,1.0,#annotator7,used,software,e740a149a6-software-8,4.7.2.0,NA,"Carl Zeiss Image Solutions, Carl Zeiss",NA,NA,e740a149a6,PMC,sw-ver-pub
AIDA image analyser,1.0,#annotator2,used,software,e72ee93b53-software-0,4.06,NA,Raytest,NA,NA,e72ee93b53,PMC,sw-ver-pub
Stata,1.0,#annotator26,used,software,b127ac3d9a-software-0,8.0,NA,Stata Corporation,NA,NA,b127ac3d9a,PMC,sw-ver-pub
ScanEdit,1.0,#annotator16,used,software,d157ff1b1a-software-8,4.4,NA,Compumedics NeuroScan,NA,NA,d157ff1b1a,PMC,sw-ver-pub
ImageJ,1.0,#annotator11,used,software,c91bab2cfc-software-2,1.45b,NA,National Institutes of Health,NA,NA,c91bab2cfc,PMC,sw-ver-pub
AFNI,1.0,#annotator2,used,software,e16f23ceda-software-8,2011_12_21_1014,NA,National Institute of Mental Health,NA,NA,e16f23ceda,PMC,sw-ver-pub
Statistical Package for Social Sciences,1.0,#annotator4,used,software,f305975db1-software-0,19,NA,IBM Corp,NA,NA,f305975db1,PMC,sw-ver-pub
Mass Center system,1.0,#annotator4,used,software,cfa546ccbc-software-1,1.3.7b,NA,JEOL,NA,NA,cfa546ccbc,PMC,sw-ver-pub
AUGUSTUS,0.7,#annotator8,used,software,d4712a2b8b-software-1,"July 24, 2013",NA,NA,NA,http://bioinf.uni-greifswald.de/ webaugustus/prediction/create,d4712a2b8b,PMC,sw-ver-url
ChemAxon Standardizer,1.0,#annotator26,used,software,e0ab19a106-software-0,5.3,NA,ChemAxon,NA,http://www.chemaxon.com,e0ab19a106,PMC,sw-ver-pub
Photoshop,1.0,#annotator5,used,software,f889103c1a-software-0,CSII,NA,Adobe Systems,NA,NA,f889103c1a,PMC,sw-ver-pub
SPSS,1.0,#annotator7,used,software,f4617f77ae-software-1,14.0,NA,SPSS Inc,NA,NA,f4617f77ae,PMC,sw-ver-pub
SAS,0.8,#annotator2,used,software,cfd6e03e2a-software-0,9.2,NA,SAS Inc,NA,NA,cfd6e03e2a,PMC,sw-ver-pub
SPSS,1.0,#annotator7,used,software,a11d556042-software-0,21.0,NA,SPSS Inc,NA,NA,a11d556042,PMC,sw-ver-pub
Statistical Package for Social Sciences,1.0,#annotator7,used,software,c4a2b8749c-software-0,13.0,NA,SPSS Inc,NA,NA,c4a2b8749c,PMC,sw-ver-pub
Chimera,1.0,#annotator26,used,software,dd70cb48f4-software-4,1.51,NA,"UCSF Chimera, Resource for Biocomputing, Visualization, and Informatics at the University of California",NA,NA,dd70cb48f4,PMC,sw-ver-pub
WinWCP,1.0,#annotator3,used,software,becfe77e27-software-0,3 9.6,NA,J. Dempster,NA,NA,becfe77e27,PMC,sw-ver-pub
ImageJ,1.0,#annotator22,used,software,c37baf4c08-software-0,1.44p,NA,U. S. National Institutes of Health,NA,http://imagej.nih.gov/ij,c37baf4c08,PMC,sw-ver-url
Stereo Investigator,1.0,#annotator2,used,software,a690616f6c-software-0,6,NA,MicroBrightField,NA,NA,a690616f6c,PMC,sw-ver-pub
javaNNS,0.8,#annotator2,used,software,a3d714f4f8-software-64,1.1,NA,University of Stuttgart,NA,http://www-ra.informatik.uni-tuebingen. de/downloads/JavaNNS,a3d714f4f8,PMC,all
GraphPad Prism,0.9,#annotator17,used,software,a7b2fbe727-software-3,6,NA,GraphPad Software,NA,https://it.mathworks.com/matlabcentral/fileex change/47711-dprime-simple-m,a7b2fbe727,PMC,sw-ver-pub
Can-pro,0.7,#annotator4,used,software,ac1bcc29a8-software-0,4.0,NA,Korean Nutritional Society,NA,NA,ac1bcc29a8,PMC,sw-ver-pub
SPSS,1.0,#annotator7,used,software,c808c222c7-software-0,22,NA,SPSS Inc,NA,NA,c808c222c7,PMC,sw-ver-pub
ImageGauge,1.0,#annotator12,used,software,b0c5eff5b2-software-0,4.0,NA,Fuji,NA,NA,b0c5eff5b2,PMC,sw-ver-pub
SAS,1.0,#annotator25,used,software,e8d7aba427-software-0,9.3,NA,SAS Institute Inc,NA,NA,e8d7aba427,PMC,sw-ver-pub
PASW Statistics,1.0,#annotator8,used,software,e4f159b9a7-software-0,18,NA,SPSS Inc,NA,NA,e4f159b9a7,PMC,sw-ver-pub
DigiData,0.6,#annotator3,used,software,becfe77e27-software-1,1302A,NA,Axon Instruments,NA,NA,becfe77e27,PMC,sw-ver-pub
Summit,1.0,#annotator17,used,software,adbb45e356-software-2,4.3,NA,Beckman Coulter,NA,NA,adbb45e356,PMC,sw-ver-pub
Excel,NA,#curator,NA,software,a5fe46e9f2-software-1,97,NA,Microsoft,NA,NA,a5fe46e9f2,PMC,sw-ver-pub
Stata,1.0,#annotator14,used,software,e67889e080-software-0,2014,NA,StataCorp,NA,NA,e67889e080,PMC,sw-ver-pub
SAS,1.0,#annotator7,used,software,a8ae6175c0-software-0,9.1,NA,SAS Institute,NA,NA,a8ae6175c0,PMC,sw-ver-pub
7000 System Sequence Detection,1.0,#annotator5,used,software,f07f647b32-software-2,1.2.3,NA,Applied Biosystems,NA,NA,f07f647b32,PMC,sw-ver-pub
PostgreSQL,0.7,#annotator2,used,software,cf8b3f85a1-software-1,9.1.4,NA,PostgreSQL Global Development Group,NA,http:// postgresql.org,cf8b3f85a1,PMC,sw-ver-url
MOE,1.0,#annotator17,used,software,f605b5d960-software-3,2009,NA,"Chemical Computing Group, Inc",NA,NA,f605b5d960,PMC,sw-ver-pub
QMASS,NA,#curator,NA,software,dbac1a3eee-software-0,4.2,NA,Medis,NA,NA,dbac1a3eee,PMC,sw-ver-pub
SPSS,1.0,#annotator16,used,software,dbfa2e06c7-software-0,17.0,NA,SPSS,NA,NA,dbfa2e06c7,PMC,sw-ver-pub
ImageJ,1.0,#annotator22,used,software,c37baf4c08-software-0,1.44p,NA,U. S. National Institutes of Health,NA,http://imagej.nih.gov/ij,c37baf4c08,PMC,all
Statistical Package for Social Sciences,1.0,#annotator10,used,software,bb055abbe0-software-0,21,NA,IBM Corp,NA,NA,bb055abbe0,PMC,sw-ver-pub
SPSS Statistics,NA,#curator,NA,software,c6cbdc2b51-software-0,22,NA,SPSS Inc,NA,NA,c6cbdc2b51,PMC,sw-ver-pub
Stata,1.0,#annotator11,used,software,d8c9647148-software-1,10,NA,StataCorp,NA,NA,d8c9647148,PMC,sw-ver-pub
GeneSpring GX,1.0,#annotator25,used,software,f93bccf182-software-3,11.5.1,NA,Agilent Technologies,NA,NA,f93bccf182,PMC,sw-ver-pub
FlowJo,1.0,#annotator17,used,software,f3453e985e-software-2,7.6.4,NA,Tree Star,NA,NA,f3453e985e,PMC,sw-ver-pub
MedCalc,1.0,#annotator5,used,software,d20a511e43-software-0,12.7.7,2013,MedCalc Software bvba,NA,http://www.medcalc.org,d20a511e43,PMC,sw-ver-pub
PASW Statistics,1.0,#annotator7,used,software,c8b97a9db2-software-0,18,NA,SPSS Inc,NA,NA,c8b97a9db2,PMC,sw-ver-pub
SPSS,0.9,#annotator2,used,software,e246f6e671-software-0,11.5,NA,SPSS Inc,NA,NA,e246f6e671,PMC,sw-ver-pub
Proteinlynx Global Server,1.0,#annotator26,used,software,dcc2607a1f-software-1,2.1,NA,Micromass,NA,NA,dcc2607a1f,PMC,sw-ver-pub
SPSS Statistics,1.0,#annotator3,used,software,d9a4b34f9c-software-3,21,NA,IBM,NA,NA,d9a4b34f9c,PMC,sw-ver-pub
Igor Pro,1.0,#annotator26,used,software,c15e1b44d0-software-1,6,NA,WaveMetrics,NA,NA,c15e1b44d0,PMC,sw-ver-pub
Treeviewer,0.7,#annotator2,used,software,aea40765a9-software-1,1.6.6,NA,NA,NA,http://taxonomy. zoology.gla.ac.uk/rod/treeview.html,aea40765a9,PMC,sw-ver-url
GraphPad Prism,1.0,#annotator4,used,software,ad0305094e-software-0,4,NA,GraphPad Software,NA,NA,ad0305094e,PMC,sw-ver-pub
MATLAB,1.0,#annotator7,used,software,eeb2d6c153-software-0,2013b,NA,MathWorks,NA,NA,eeb2d6c153,PMC,sw-ver-pub
RNAi Designer,0.8,#annotator2,used,software,cca4ba46a0-software-0,NA,NA,Invitrogen,NA,https://rnaidesigner.invitrogen.com/rnaiexpress,cca4ba46a0,PMC,sw-pub-url
SPSS,1.0,#annotator17,used,software,b707545bfd-software-3,19.0,NA,SPSS Inc,NA,NA,b707545bfd,PMC,sw-ver-pub
GraphPad Prism,1.0,#annotator6,used,software,dc2714f190-software-2,5,NA,GraphPad Software,NA,NA,dc2714f190,PMC,sw-ver-pub
The ProteinLynx Global Server,1.0,#annotator6,used,software,fac4e9a715-software-4,2.4,NA,Waters Corporation,NA,NA,fac4e9a715,PMC,sw-ver-pub
Statistical Package for Social Sciences,1.0,#annotator7,used,software,c01189bbb3-software-0,20.0,NA,SPSS Inc,NA,NA,c01189bbb3,PMC,sw-ver-pub
SAS,1.0,#annotator8,used,software,dc54f3b199-software-1,9.4,NA,SAS Institute,NA,NA,dc54f3b199,PMC,sw-ver-pub
Origin,1.0,#annotator4,used,software,f08d61c47e-software-0,7,NA,MicroCal,NA,NA,f08d61c47e,PMC,sw-ver-pub
GraphPad PRISM,1.0,#annotator2,used,software,e72ee93b53-software-1,4.0,NA,GraphPad Software,NA,NA,e72ee93b53,PMC,sw-ver-pub
Image J,1.0,#annotator4,used,software,c83136e356-software-2,1.47v,NA,"NIH Image, National Institute of Health",NA,NA,c83136e356,PMC,sw-ver-pub
Photoshop,1.0,#annotator9,used,software,c1b8cf026e-software-3,CS6,NA,Adobe,NA,NA,c1b8cf026e,PMC,sw-ver-pub
Prism,1.0,#annotator5,used,software,b6073b951f-software-2,5.0,NA,GraphPad Software,NA,NA,b6073b951f,PMC,sw-ver-pub
SPSS,0.8,#annotator21,used,software,e97dafa842-software-0,18.0,NA,SPSS Inc,NA,NA,e97dafa842,PMC,sw-ver-pub
SPSS,0.9,#annotator18,used,software,eaa9c5bd33-software-0,19.0,NA,IBM,NA,NA,eaa9c5bd33,PMC,sw-ver-pub
Clampex,1.0,#annotator4,used,software,a4b9899206-software-1,10,NA,Molecular Devices,NA,NA,a4b9899206,PMC,sw-ver-pub
SPSS Statistics,0.9,#annotator2,used,software,adf2a3dbf5-software-1,21,NA,IBM Corp,NA,NA,adf2a3dbf5,PMC,sw-ver-pub
PDQuest,1.0,#annotator12,used,software,f3b95016d0-software-1,8.0,NA,"Bio-Rad Laboratories, Inc",NA,NA,f3b95016d0,PMC,sw-ver-pub
Maldi Biotyper Automation Control,0.8,#annotator6,used,software,aae85e7424-software-1,2.0,NA,Bruker Daltonics GmbH,NA,NA,aae85e7424,PMC,sw-ver-pub
UCHIME,NA,#curator,NA,software,dc7572678c-software-0,6,NA,USEARCH,NA,NA,dc7572678c,PMC,sw-ver-pub
SAS,1.0,#annotator0,used,software,a7f72b2925-software-1,9.1,NA,SAS Institute,NA,NA,a7f72b2925,PMC,sw-ver-pub
SPSS,1.0,#annotator13,used,software,df91695b9a-software-0,22,NA,SPSS Inc,NA,NA,df91695b9a,PMC,sw-ver-pub
SPSS,1.0,#annotator4,used,software,c1fd449f43-software-0,11.0,NA,SPSS Inc,NA,NA,c1fd449f43,PMC,sw-ver-pub
ChemAxon Standardizer,1.0,#annotator26,used,software,e0ab19a106-software-0,5.3,NA,ChemAxon,NA,http://www.chemaxon.com,e0ab19a106,PMC,all
SPSS,1.0,#annotator8,used,software,c19a94d9df-software-0,12.0 K,NA,SPSS Inc,NA,NA,c19a94d9df,PMC,sw-ver-pub
Seqmatch,0.9,#annotator8,used,software,acb076398a-software-0,"10, Update 12",NA,Ribosomal Database Project,NA,NA,acb076398a,PMC,sw-ver-pub
MedCalc,1.0,#annotator5,used,software,d20a511e43-software-0,12.7.7,2013,MedCalc Software bvba,NA,http://www.medcalc.org,d20a511e43,PMC,all
"DAVID tools (Database for Annotation, visualization and integrated discovery",NA,#curator,NA,software,a3c47c42ac-software-23,6.7,NA,NA,NA,http://david.abcc.ncifcrf.gov,a3c47c42ac,PMC,sw-ver-url
GPS Explorer,1.0,#annotator12,used,software,f3b95016d0-software-2,3.5,NA,"Thermo Fisher Scientific, Inc",NA,NA,f3b95016d0,PMC,sw-ver-pub
SPSS,1.0,#annotator3,used,software,bc4e8ade50-software-0,16,NA,SPSS Inc,NA,NA,bc4e8ade50,PMC,sw-ver-pub
SPSS,1.0,#annotator9,used,software,f8764e6c74-software-1,18,NA,SPSS Inc,NA,NA,f8764e6c74,PMC,sw-ver-pub
SPSS,0.9,#annotator20,used,software,cc475e4526-software-1,21.0,NA,IBM Co,NA,NA,cc475e4526,PMC,sw-ver-pub
PASW Statistics,NA,#curator,NA,software,a226b2f436-software-0,18,NA,SPSS Inc,NA,NA,a226b2f436,PMC,sw-ver-pub
Statistica,1.0,#annotator10,used,software,fc711e5494-software-0,8.0,NA,StatSoft,NA,NA,fc711e5494,PMC,sw-ver-pub
SPSS,1.0,#annotator10,used,software,e2932777b9-software-0,20.0,NA,IBM SPSS,NA,NA,e2932777b9,PMC,sw-ver-pub
SPSS,1.0,#annotator22,used,software,ff8376d3d4-software-0,18.0,NA,IBM Co,NA,NA,ff8376d3d4,PMC,sw-ver-pub
Mascot,1.0,#annotator12,used,software,f3b95016d0-software-3,2.1.0,NA,Matrix Science Ltd,NA,NA,f3b95016d0,PMC,sw-ver-pub
SPSS,1.0,#annotator3,used,software,b1bec48556-software-1,14.0,NA,SPSS Inc,NA,NA,b1bec48556,PMC,sw-ver-pub
Nanoparticle Tracking Analysis,1.0,#annotator2,used,software,f155b0f04c-software-1,2.3,NA,Malvern,NA,NA,f155b0f04c,PMC,sw-ver-pub
Eprime,0.8,#annotator5,used,software,a7ca243fe8-software-0,2,NA,Psychology Software Tools,NA,NA,a7ca243fe8,PMC,sw-ver-pub
SPSS,1.0,#annotator3,used,software,e35f406354-software-2,19.0,NA,IBM,NA,NA,e35f406354,PMC,sw-ver-pub
Fluoview,1.0,#annotator7,used,software,fcda52b147-software-0,3.1,NA,Olympus,NA,NA,fcda52b147,PMC,sw-ver-pub
Scion Image,1.0,#annotator5,used,software,becd1c9f79-software-0,4.0.3.2,NA,NIH,NA,NA,becd1c9f79,PMC,sw-ver-pub
Statview,1.0,#annotator2,used,software,c763d8f874-software-0,5.0,NA,SAS software Inc,NA,NA,c763d8f874,PMC,sw-ver-pub
SPSS,1.0,#annotator13,used,software,cd5cdb01ff-software-0,12.0,NA,SPSS Inc,NA,NA,cd5cdb01ff,PMC,sw-ver-pub
Dell Statistica data analysis software system,1.0,#annotator10,used,software,d0632d7364-software-0,13,NA,"Dell, Inc",NA,NA,d0632d7364,PMC,sw-ver-pub
AxioVision Rel,1.0,#annotator4,used,software,a1e4dc757e-software-1,4.7,NA,Carl Zeiss,NA,NA,a1e4dc757e,PMC,sw-ver-pub
PostgreSQL,0.7,#annotator2,used,software,cf8b3f85a1-software-1,9.1.4,NA,PostgreSQL Global Development Group,NA,http:// postgresql.org,cf8b3f85a1,PMC,all
nQuery Advisor,0.7,#annotator17,used,software,eef0eaaeeb-software-2,4.0,NA,Janet D Elashoff,NA,NA,eef0eaaeeb,PMC,sw-ver-pub
Chimera,1.0,#annotator3,used,software,dc8f900270-software-9,1.9,NA,UCSF,NA,http://www.cgl.ucsf.edu/ chimera,dc8f900270,PMC,all
STATA,1.0,#annotator26,used,software,e97382ab7a-software-3,12.0,NA,Stata Corporation,NA,NA,e97382ab7a,PMC,sw-ver-pub
Comprehensive Meta-Analysis (CAM),NA,#curator,NA,software,c553275698-software-1,3.3.070,NA,Biostat,NA,NA,c553275698,PMC,sw-ver-pub
Prism,1.0,#annotator2,used,software,b529d4d817-software-0,4.0,NA,GraphPad Software,NA,NA,b529d4d817,PMC,sw-ver-pub
Review Manager,1.0,#annotator6,used,software,d5240db716-software-1,5.2.3,NA,the Cochrane Collaboration,NA,NA,d5240db716,PMC,sw-ver-pub
Graph Pad Prism,1.0,#annotator0,used,software,aae3d10b62-software-6,5,NA,"Graph Pad Software, Inc",NA,NA,aae3d10b62,PMC,sw-ver-pub
SPSS,1.0,#annotator5,used,software,fd61c67292-software-2,15,NA,"SPSS, Inc",NA,NA,fd61c67292,PMC,sw-ver-pub
Statistical Package for the Social Sciences (SPSS),1.0,#annotator8,used,software,f8c73042e9-software-0,16,NA,IBM,NA,NA,f8c73042e9,PMC,sw-ver-pub
SPSS,1.0,#annotator5,used,software,a61fe68857-software-0,15.0,NA,SPSS Inc,NA,NA,a61fe68857,PMC,sw-ver-pub
StatView,1.0,#annotator10,used,software,c14d437f5c-software-0,5.0,NA,Abacus Concepts,NA,NA,c14d437f5c,PMC,sw-ver-pub
Clampfit,0.8,#annotator18,used,software,d2bb49b2ae-software-2,10.3,NA,Molecular Devices,NA,NA,d2bb49b2ae,PMC,sw-ver-pub
SPSS,1.0,#annotator12,used,software,d6cf14267b-software-2,22.0,NA,SPSS Inc,NA,NA,d6cf14267b,PMC,sw-ver-pub
GraphPad Prism,0.9,#annotator17,used,software,a7b2fbe727-software-3,6,NA,GraphPad Software,NA,https://it.mathworks.com/matlabcentral/fileex change/47711-dprime-simple-m,a7b2fbe727,PMC,all
Stata,1.0,#annotator3,used,software,a07cded56d-software-1,12,NA,StataCorp,NA,NA,a07cded56d,PMC,sw-ver-pub
GraphPad,0.9,#annotator20,used,software,f3a059e961-software-4,5.0,NA,"GraphPad Software, Inc",NA,NA,f3a059e961,PMC,sw-ver-pub
