article_batch_name,article_number,article_filename,article_sha256,article_text_length,tua_group_uuid,tua_group_name,tua_batch_uuid,tua_batch_name,tua_batch_final,source_task_uuid,tua_uuid,namespace,topic_name,case_number,answer_uuid,extra,highlight_count,start_pos,end_pos,target_text
softcite_data/from_json/hep/sample1-2020-11-22/1010_1466.grobid-2/text.txt.gz,110431,1010_1466.grobid-2,675a083591535f7580c4999a4ae7c4d0cfe021568c450d2e320922a21b011101,1999,8bd4421d-73c3-483d-bfaf-ef7215aa556a,Pipeline-3E-HEP-Mentions-MTurk.IAA,6f0d6728-a663-4134-8fe2-a0cf3182cbad,Consensus generated at 2020-12-17T164427,True,c6328d5d-e69d-4780-a24d-55a9b9492de9,7fadedb4-0d41-44ed-857f-a9fcb1f36f71,HL_Softcite_SoftwareMentions_v3,Software Mention,1,,{},1,394,402,madgraph
softcite_data/from_json/hep/sample1-2020-11-22/1010_1466.grobid-2/text.txt.gz,110431,1010_1466.grobid-2,675a083591535f7580c4999a4ae7c4d0cfe021568c450d2e320922a21b011101,1999,8bd4421d-73c3-483d-bfaf-ef7215aa556a,Pipeline-3E-HEP-Mentions-MTurk.IAA,6f0d6728-a663-4134-8fe2-a0cf3182cbad,Consensus generated at 2020-12-17T164427,True,c6328d5d-e69d-4780-a24d-55a9b9492de9,dfdfcdbc-4887-44b5-885c-a4b6ce286565,HL_Softcite_SoftwareMentions_v3,Software Mention,2,,{},1,540,546,bridge
softcite_data/from_json/hep/sample1-2020-11-22/1010_1466.grobid-2/text.txt.gz,110431,1010_1466.grobid-2,675a083591535f7580c4999a4ae7c4d0cfe021568c450d2e320922a21b011101,1999,8bd4421d-73c3-483d-bfaf-ef7215aa556a,Pipeline-3E-HEP-Mentions-MTurk.IAA,6f0d6728-a663-4134-8fe2-a0cf3182cbad,Consensus generated at 2020-12-17T164427,True,c6328d5d-e69d-4780-a24d-55a9b9492de9,d5a6b7c9-6e07-45b2-821a-391d4fab1f12,HL_Softcite_SoftwareMentions_v3,Software Mention,3,,{},1,606,612,pythia
softcite_data/from_json/hep/sample1-2020-11-22/1010_1466.grobid-2/text.txt.gz,110431,1010_1466.grobid-2,675a083591535f7580c4999a4ae7c4d0cfe021568c450d2e320922a21b011101,1999,8bd4421d-73c3-483d-bfaf-ef7215aa556a,Pipeline-3E-HEP-Mentions-MTurk.IAA,6f0d6728-a663-4134-8fe2-a0cf3182cbad,Consensus generated at 2020-12-17T164427,True,c6328d5d-e69d-4780-a24d-55a9b9492de9,245a9e75-6502-4246-aad4-6f4a8d20f1c1,HL_Softcite_SoftwareMentions_v3,Software Mention,4,,{},1,794,800,alpgen
softcite_data/from_json/hep/sample1-2020-11-22/1010_1466.grobid-2/text.txt.gz,110431,1010_1466.grobid-2,675a083591535f7580c4999a4ae7c4d0cfe021568c450d2e320922a21b011101,1999,8bd4421d-73c3-483d-bfaf-ef7215aa556a,Pipeline-3E-HEP-Mentions-MTurk.IAA,6f0d6728-a663-4134-8fe2-a0cf3182cbad,Consensus generated at 2020-12-17T164427,True,c6328d5d-e69d-4780-a24d-55a9b9492de9,bd03a8ff-6fd7-4c4d-a079-3a11972ea075,HL_Softcite_SoftwareMentions_v3,Software Mention,5,,{},1,826,832,pythia
softcite_data/from_json/hep/sample1-2020-11-22/1010_1466.grobid-2/text.txt.gz,110431,1010_1466.grobid-2,675a083591535f7580c4999a4ae7c4d0cfe021568c450d2e320922a21b011101,1999,8bd4421d-73c3-483d-bfaf-ef7215aa556a,Pipeline-3E-HEP-Mentions-MTurk.IAA,6f0d6728-a663-4134-8fe2-a0cf3182cbad,Consensus generated at 2020-12-17T164427,True,c6328d5d-e69d-4780-a24d-55a9b9492de9,6fcda4a0-4f09-4bc4-b295-2b029e1d14b1,HL_Softcite_SoftwareMentions_v3,Software Mention,6,,{},1,925,931,alpgen
softcite_data/from_json/hep/sample1-2020-11-22/1010_1466.grobid-2/text.txt.gz,110431,1010_1466.grobid-2,675a083591535f7580c4999a4ae7c4d0cfe021568c450d2e320922a21b011101,1999,8bd4421d-73c3-483d-bfaf-ef7215aa556a,Pipeline-3E-HEP-Mentions-MTurk.IAA,6f0d6728-a663-4134-8fe2-a0cf3182cbad,Consensus generated at 2020-12-17T164427,True,c6328d5d-e69d-4780-a24d-55a9b9492de9,9916298d-5c75-45a6-b149-588be1888d71,HL_Softcite_SoftwareMentions_v3,Software Mention,7,,{},1,968,974,pythia
softcite_data/from_json/hep/sample1-2020-11-22/1010_1466.grobid-2/text.txt.gz,110431,1010_1466.grobid-2,675a083591535f7580c4999a4ae7c4d0cfe021568c450d2e320922a21b011101,1999,8bd4421d-73c3-483d-bfaf-ef7215aa556a,Pipeline-3E-HEP-Mentions-MTurk.IAA,6f0d6728-a663-4134-8fe2-a0cf3182cbad,Consensus generated at 2020-12-17T164427,True,c6328d5d-e69d-4780-a24d-55a9b9492de9,cce5d1d6-19d4-431f-abba-376c63b13b0a,HL_Softcite_SoftwareMentions_v3,Software Mention,8,,{},1,1016,1022,pythia
softcite_data/from_json/hep/sample1-2020-11-22/1010_1466.grobid-2/text.txt.gz,110431,1010_1466.grobid-2,675a083591535f7580c4999a4ae7c4d0cfe021568c450d2e320922a21b011101,1999,8bd4421d-73c3-483d-bfaf-ef7215aa556a,Pipeline-3E-HEP-Mentions-MTurk.IAA,6f0d6728-a663-4134-8fe2-a0cf3182cbad,Consensus generated at 2020-12-17T164427,True,c6328d5d-e69d-4780-a24d-55a9b9492de9,12c48637-47cc-457c-b50b-93ad400ac8b0,HL_Softcite_SoftwareMentions_v3,Software Mention,9,,{},1,1077,1084,comphep
softcite_data/from_json/hep/sample1-2020-11-22/1010_1466.grobid-2/text.txt.gz,110431,1010_1466.grobid-2,675a083591535f7580c4999a4ae7c4d0cfe021568c450d2e320922a21b011101,1999,8bd4421d-73c3-483d-bfaf-ef7215aa556a,Pipeline-3E-HEP-Mentions-MTurk.IAA,6f0d6728-a663-4134-8fe2-a0cf3182cbad,Consensus generated at 2020-12-17T164427,True,c6328d5d-e69d-4780-a24d-55a9b9492de9,00eb9d9a-fe40-4d1e-b9cf-cd7d29e4f431,HL_Softcite_SoftwareMentions_v3,Software Mention,10,,{},1,1137,1142,geant
