Article ID & Link to PDF
aa23704-14 & https://www.aanda.org/articles/aa/pdf/2015/01/aa23704-14.pdf \\
aa23996-14 & https://www.aanda.org/articles/aa/pdf/2015/01/aa23996-14.pdf \\
aa24235-14 & https://www.aanda.org/articles/aa/pdf/2015/01/aa24235-14.pdf \\
aa24356-14 & https://www.aanda.org/articles/aa/pdf/2015/01/aa24356-14.pdf \\
aa24393-14 & https://www.aanda.org/articles/aa/pdf/2015/01/aa24393-14.pdf \\
aa24472-14 & https://www.aanda.org/articles/aa/pdf/2015/01/aa24472-14.pdf \\
aa24589-14 & https://www.aanda.org/articles/aa/pdf/2015/01/aa24589-14.pdf \\
aa24675-14 & https://www.aanda.org/articles/aa/pdf/2015/01/aa24675-14.pdf \\
aa24691-14 & https://www.aanda.org/articles/aa/pdf/2015/01/aa24691-14.pdf \\
aa24735-14 & https://www.aanda.org/articles/aa/pdf/2015/01/aa24735-14.pdf \\
aa24967-14 & https://www.aanda.org/articles/aa/pdf/2015/01/aa24967-14.pdf \\
aa22518-13 & https://www.aanda.org/articles/aa/pdf/2015/02/aa22518-13.pdf \\
aa23280-13 & https://www.aanda.org/articles/aa/pdf/2015/02/aa23280-13.pdf \\
aa23584-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa23584-14.pdf \\
aa23915-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa23915-14.pdf \\
aa24199-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa24199-14.pdf \\
aa24318-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa24318-14.pdf \\
aa24414-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa24414-14.pdf \\
aa24524-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa24524-14.pdf \\
aa24657-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa24657-14.pdf \\
aa24711-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa24711-14.pdf \\
aa24816-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa24816-14.pdf \\
aa24880-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa24880-14.pdf \\
aa24899-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa24899-14.pdf \\
aa25015-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa25015-14.pdf \\
aa25035-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa25035-14.pdf \\
aa25052-14 & https://www.aanda.org/articles/aa/pdf/2015/02/aa25052-14.pdf \\
aa22695-13 & https://www.aanda.org/articles/aa/pdf/2015/03/aa22695-13.pdf \\
aa23042-13 & https://www.aanda.org/articles/aa/pdf/2015/03/aa23042-13.pdf \\
aa24455-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa24455-14.pdf \\
aa24499-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa24499-14.pdf \\
aa24548-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa24548-14.pdf \\
aa24568-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa24568-14.pdf \\
aa24636-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa24636-14.pdf \\
aa24917-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa24917-14.pdf \\
aa25081-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa25081-14.pdf \\
aa25159-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa25159-14.pdf \\
aa25173-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa25173-14.pdf \\
aa25238-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa25238-14.pdf \\
aa25265-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa25265-14.pdf \\
aa25315-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa25315-14.pdf \\
aa25331-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa25331-14.pdf \\
aa25419-14 & https://www.aanda.org/articles/aa/pdf/2015/03/aa25419-14.pdf \\
aa21064-13 & https://www.aanda.org/articles/aa/pdf/2015/04/aa21064-13.pdf \\
aa24086-14 & https://www.aanda.org/articles/aa/pdf/2015/04/aa24086-14.pdf \\
aa24759-14 & https://www.aanda.org/articles/aa/pdf/2015/04/aa24759-14.pdf \\
aa24783-14 & https://www.aanda.org/articles/aa/pdf/2015/04/aa24783-14.pdf \\
aa24801-14 & https://www.aanda.org/articles/aa/pdf/2015/04/aa24801-14.pdf \\
aa24846-14 & https://www.aanda.org/articles/aa/pdf/2015/04/aa24846-14.pdf \\
aa25124-14 & https://www.aanda.org/articles/aa/pdf/2015/04/aa25124-14.pdf \\
aa25140-14 & https://www.aanda.org/articles/aa/pdf/2015/04/aa25140-14.pdf \\
aa25186-14 & https://www.aanda.org/articles/aa/pdf/2015/04/aa25186-14.pdf \\
